library,candidate_order,candidate_name,included_in_k7,included_in_k20,estimator_class,parameters_json
mixed_realistic_20,1,logistic_regression,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(max_iter=2000, random_state=12, solver='liblinear')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 2000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 12, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(max_iter=2000, random_state=12, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,2,linear_svm,True,True,Pipeline,"{""memory"": null, ""model"": ""LinearSVC(dual=False, max_iter=5000, random_state=24)"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__loss"": ""squared_hinge"", ""model__max_iter"": 5000, ""model__multi_class"": ""ovr"", ""model__penalty"": ""l2"", ""model__random_state"": 24, ""model__tol"": 0.0001, ""model__verbose"": 0, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LinearSVC(dual=False, max_iter=5000, random_state=24)""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,3,rbf_svm,True,True,Pipeline,"{""memory"": null, ""model"": ""SVC(cache_size=500, random_state=38)"", ""model__C"": 1.0, ""model__break_ties"": false, ""model__cache_size"": 500, ""model__class_weight"": null, ""model__coef0"": 0.0, ""model__decision_function_shape"": ""ovr"", ""model__degree"": 3, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf"", ""model__max_iter"": -1, ""model__probability"": false, ""model__random_state"": 38, ""model__shrinking"": true, ""model__tol"": 0.001, ""model__verbose"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""SVC(cache_size=500, random_state=38)""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,4,gaussian_nb,True,True,Pipeline,"{""memory"": null, ""model"": ""GaussianNB()"", ""model__priors"": null, ""model__var_smoothing"": 1e-09, ""steps"": [[""variance"", ""VarianceThreshold()""], [""model"", ""GaussianNB()""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,5,decision_tree,True,True,DecisionTreeClassifier,"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}"
mixed_realistic_20,6,random_forest,True,True,RandomForestClassifier,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 54, ""verbose"": 0, ""warm_start"": false}"
mixed_realistic_20,7,hist_gradient_boosting,True,True,HistGradientBoostingClassifier,"{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 68, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}"
mixed_realistic_20,8,logreg_l1_c01,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, max_iter=3000, penalty='l1', random_state=302,\n                   solver='liblinear')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 302, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, max_iter=3000, penalty='l1', random_state=302,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,9,elastic_net_c1_r05,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(l1_ratio=0.5, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=308, solver='saga')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 308, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(l1_ratio=0.5, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=308, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
mixed_realistic_20,10,logreg_l2_c01,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, max_iter=3000, random_state=312, solver='liblinear')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 312, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, max_iter=3000, random_state=312, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
