Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Tuned histogram gradient boosting,335,33.5
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Multilayer perceptron,115,11.5
Expanded nonlinear,XOR interaction signal,0.7,Average precision,Tuned random forest,69,6.9
Expanded nonlinear,XOR interaction signal,0.7,Average precision,rbf_svm_c3,194,19.4
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,97,9.7
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Extra trees,106,10.6
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Gradient boosting,117,11.7
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Tuned histogram gradient boosting,288,28.8
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Multilayer perceptron,128,12.8
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Tuned random forest,87,8.7
Expanded nonlinear,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),rbf_svm_c3,177,17.7
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Elastic-net logistic regression,40,4
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Extra trees,74,7.4
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Gradient boosting,130,13
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Tuned histogram gradient boosting,355,35.5
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Multilayer perceptron,120,12
Expanded nonlinear,XOR interaction signal,0.7,AUROC,Tuned random forest,97,9.7
Expanded nonlinear,XOR interaction signal,0.7,AUROC,rbf_svm_c3,184,18.4
Heterogeneous core,Single linear signal,0.5,Average precision,Decision tree,116,11.6
Heterogeneous core,Single linear signal,0.5,Average precision,Gaussian naive Bayes,176,17.6
Heterogeneous core,Single linear signal,0.5,Average precision,Histogram gradient boosting,187,18.7
Heterogeneous core,Single linear signal,0.5,Average precision,Linear SVM,79,7.9
Heterogeneous core,Single linear signal,0.5,Average precision,Logistic regression,66,6.6
Heterogeneous core,Single linear signal,0.5,Average precision,Random forest,177,17.7
Heterogeneous core,Single linear signal,0.5,Average precision,RBF SVM,199,19.9
