dgp,alpha,reference_size,evaluation_size,replications,main_regime,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_var_delta_pi,exact_if_var_delta_pi,empirical_exact_var_ratio_delta_pi,mean_estimated_var_delta_pi,estimated_exact_var_ratio_delta_pi,normal_coverage_delta_pi,evaluation_only_coverage_delta_pi,reference_variance_share_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_var_delta_s,exact_if_var_delta_s,empirical_exact_var_ratio_delta_s,mean_estimated_var_delta_s,estimated_exact_var_ratio_delta_s,normal_coverage_delta_s,evaluation_only_coverage_delta_s,reference_variance_share_delta_s,mean_bridge_delta_pi,rms_bridge_delta_pi,standardized_rms_bridge_delta_pi,mean_bridge_delta_s,rms_bridge_delta_s,standardized_rms_bridge_delta_s,mean_pathwise_disagreement_probability,mean_interval_union_probability,support_violation_count,maximum_covariance_identity_error,maximum_candidate_threshold_gap,monte_carlo_se_coverage
gain_coupled_k20,0.1,1000,1000,2000,1,0.04593900879990542,0.045775239499999995,-0.000163769299905428,-0.024958277824370392,4.3913759408844176e-05,4.3056205713107894e-05,1.0199170754025642,4.298190269758837e-05,0.9982742786019135,0.941,0.9375,0.03715904562977515,0.824444582141532,0.8245304871879161,8.590504638406049e-05,0.0006962817321070648,0.015481967775147085,0.015221846961461536,1.017088649908524,0.015352211091082452,1.0085642780374136,0.944,0.939,0.029311497058135735,0.00010727299999999817,0.0008407989676492224,0.12813692334980534,-0.002250640347296387,0.015764564786341743,0.1277757121074642,0.0042255,0.019697000000000003,0,1.1102230246251565e-16,0.052871238557042455,0.005268728499363013
gain_coupled_k20,0.1,3000,3000,2000,1,0.04593900879990542,0.046022043000000006,8.303420009458246e-05,0.021917941120976166,1.3798114360010018e-05,1.4352068571035964e-05,0.9614024829742045,1.4338089239520046e-05,0.9990259709639258,0.957,0.9525,0.03715904562977516,0.824444582141532,0.8273959731307481,0.0029513909892160406,0.04143369823641547,0.00485031814402057,0.005073948987153846,0.9559256816141705,0.005095063674830969,1.0041613913995946,0.958,0.953,0.029311497058135735,1.5969777777776028e-05,0.00027595644416116396,0.07284223956139448,-0.001119881038074101,0.005310857155901476,0.07455754035244905,0.0013865000000000001,0.006628333333333334,0,9.71445146547012e-17,0.018962171866429456,0.004536022486716751
gain_coupled_k20,0.1,3000,5000,2000,1,0.04593900879990542,0.04581949086,-0.00011951793990542386,-0.04023337361495831,9.066007744729624e-06,8.824564810986693e-06,1.027360321887186,8.813992470787121e-06,0.9988019420304547,0.9475,0.9375,0.06043461432214887,0.824444582141532,0.824038061608239,-0.00040652053329304216,-0.007296783588812032,0.003224995008113103,0.0031038594086163435,1.0390274118603717,0.0031154070630903677,1.0037204180195687,0.9485,0.942,0.047916165402733316,3.7214060000000715e-05,0.00022457029886429803,0.07559719272420391,-0.0007282226797774913,0.004240298959748398,0.0761106545111344,0.0013955000000000003,0.0066205,0,1.1102230246251565e-16,0.01994712491372841,0.004987171041783106
loss_coupled_k20,0.01,500,500,2000,0,-0.02221758914754446,-0.0240497,-0.0018321108524555416,-0.2602281352467716,5.314333083941971e-05,4.956726944488695e-05,1.07214562017601,5.449823652144912e-05,1.0994803048823343,0.9535,0.941,0.10699402909687121,-2.436841541634383,-2.684278113728208,-0.2474365720938252,-0.31848401801806797,0.6732630643204011,0.6036045342537678,1.1154042524759222,0.6888827866607821,1.1412816630220368,0.952,0.933,0.11878635385254008,0.0031240140000000005,0.004345279532550236,0.6171919064645957,0.39099172649560915,0.5167976011624348,0.6651877494402881,0.026762000000000005,0.03851800000000001,0,3.469446951953614e-17,0.6962802592729527,0.004708383480558906
loss_coupled_k20,0.01,1000,1000,2000,0,-0.02221758914754446,-0.023334967,-0.001117377852455543,-0.22444894024691053,2.6092095101461737e-05,2.4783634722443475e-05,1.0527953382815698,2.5996873425487476e-05,1.0489532191961062,0.95,0.9315,0.10699402909687121,-2.436841541634383,-2.582013487345516,-0.1451719457111329,-0.26425392624148925,0.32427743545296966,0.3018022671268839,1.0744698459029027,0.32267194891148576,1.0691501822808633,0.9495,0.9305,0.11878635385254008,0.0016017660000000003,0.0022004567614474957,0.4420082133189494,0.19882894325639117,0.2600605471090072,0.473383616217488,0.013376500000000003,0.019381500000000003,0,2.7755575615628914e-17,0.3866356561193376,0.004873397172404485
loss_coupled_k20,0.01,3000,3000,2000,1,-0.02221758914754446,-0.02269534377777778,-0.00047775463023332077,-0.1662199059976861,8.670171852385006e-06,8.261211574147824e-06,1.0495036683864822,8.42109367890339e-06,1.0193533482735015,0.9435,0.929,0.10699402909687124,-2.436841541634383,-2.4962394791463467,-0.05939793751196376,-0.18727109228095712,0.10572928111058283,0.1006007557089613,1.0509789947946155,0.10318705448002387,1.0257085421758136,0.9435,0.928,0.11878635385254008,0.0005295106111111112,0.0007429998133401226,0.2585037408624992,0.0656683874811225,0.08726378472852096,0.27512713348656037,0.004522499999999999,0.00657,0,2.0816681711721685e-17,0.11190355487285242,0.005162739098579358
loss_coupled_k20,0.01,3000,5000,2000,1,-0.02221758914754446,-0.02254449538,-0.00032690623245554273,-0.1418613867189934,5.593679929114411e-06,5.310287069104608e-06,1.0533667683727665,5.403871937680316e-06,1.0176233162836312,0.9485,0.926,0.16645057038108868,-2.436841541634383,-2.4797216807058553,-0.04288013907147237,-0.16800832446007602,0.06926270194568894,0.06514045221156783,1.0632824856777563,0.0666758154558379,1.0235700427636485,0.9475,0.919,0.18344970843410116,0.00053759058,0.0006785923960157524,0.2944760569190144,0.06653758359306508,0.08073582839977805,0.3163303932091743,0.004562299999999999,0.0066611,0,1.734723475976807e-17,0.14396053276766585,0.004942051699446293
loss_coupled_k20,0.05,500,500,2000,0,-0.061186374939495636,-0.0614415,-0.0002551250605043673,-0.02487104288778893,0.0001039097738849425,0.00010522483384043067,0.9875023803080325,0.00010513778289262118,0.9991727147990417,0.9515,0.9475,0.03393972307976501,-1.8232896743624645,-1.853358010833479,-0.03006833647101459,-0.09560264961752753,0.0999716658128228,0.09891882412813247,1.010643491711209,0.10194842663867197,1.0306271585539186,0.9505,0.9415,0.08346526489801723,0.001182846000000001,0.0025562320411105094,0.24919604761646455,0.0622449653236367,0.0926703612716149,0.29464656573603076,0.015479000000000001,0.038790000000000005,0,6.938893903907228e-17,0.19234477020221208,0.004803527349771207
loss_coupled_k20,0.05,1000,1000,2000,1,-0.061186374939495636,-0.061367621500000004,-0.0001812465605043681,-0.024987663411213813,5.273791107977764e-05,5.2612416920215335e-05,1.0023852574526773,5.257978619129023e-05,0.9993797903454125,0.9465,0.944,0.03393972307976501,-1.8232896743624645,-1.841702892566701,-0.01841321820423647,-0.08279521247733561,0.04975142262841192,0.04945941206406623,1.0059040443903264,0.05029919932762152,1.0169793215994458,0.9475,0.938,0.08346526489801723,0.0005977084999999992,0.0012814925109028155,0.17667371693742606,0.031251792396765087,0.04596795149263048,0.2066953353164814,0.007775000000000001,0.0197745,0,6.938893903907228e-17,0.11515203265398033,0.005031786462082825
loss_coupled_k20,0.05,3000,3000,2000,1,-0.061186374939495636,-0.061079361166666665,0.00010701377282897051,0.025553840310169097,1.7731553317927477e-05,1.7537472306738446e-05,1.0110666467661054,1.7533839486391477e-05,0.99979285382275,0.944,0.941,0.03393972307976501,-1.8232896743624645,-1.8237603509560618,-0.00047067659359734115,-0.0036657154866916205,0.01682750176553627,0.016486470688022076,1.0206855114091802,0.01656283064682586,1.0046316740707435,0.949,0.933,0.08346526489801723,0.000191200388888887,0.0004331931790512659,0.10344228624311956,0.010186875164036342,0.015438514728406317,0.12023797932864833,0.0026198333333333334,0.006650666666666667,0,6.938893903907228e-17,0.034366342925535864,0.005141206084179083
