library_or_contrast,local_alpha,metric,estimate,bootstrap_mean,bootstrap_se,ci_low_95,ci_high_95,bootstrap_probability_gt_zero,bootstrap_probability_lt_zero,bootstrap_repetitions,pairing
mixed_realistic_20,0.05,rescue_tess_minus_matched_random,-0.7629741592875297,-0.7626341779995904,0.057325682075193125,-0.8756191187303031,-0.6516925524110581,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.05,cov_activation_increment,0.02959064000000001,0.029581214086,0.0022804389062100815,0.025166793000000003,0.03411155599999999,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.025,promising_tess_minus_matched_random,1.2611207407061888,1.2601755098729757,0.09358459553241454,1.0801163639276585,1.4462854406762196,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.025,rescue_tess_minus_matched_random,-1.2213311816674528,-1.2202297351354965,0.08775315144120686,-1.3946292061533225,-1.0509969536631352,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.025,cov_activation_increment,0.026630040000000008,0.026606174043999998,0.001924893385020467,0.022888216000000003,0.030428068,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.01,promising_tess_minus_matched_random,1.8899583783737572,1.8916470100040839,0.15863442501647393,1.5836717741974635,2.2053481383151543,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.01,rescue_tess_minus_matched_random,-1.8541347069789555,-1.855511862443456,0.15267984056428516,-2.157072214073772,-1.558685195300733,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.01,cov_activation_increment,0.017450400000000005,0.017463133254,0.0014341644809263436,0.014671272999999999,0.020300143999999985,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.005,promising_tess_minus_matched_random,1.9735267561932996,1.9727944437066653,0.22568098233464073,1.5348774724710992,2.4192852885434015,1.0,0.0,20000,same replication IDs across libraries
mixed_realistic_20,0.005,rescue_tess_minus_matched_random,-1.9538883789912562,-1.95291645146333,0.2212141053311099,-2.3896630831855226,-1.5229366970231615,0.0,1.0,20000,same replication IDs across libraries
mixed_realistic_20,0.005,cov_activation_increment,0.00942452,0.00941970841,0.001064943310163337,0.007348448,0.011515279999999994,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.2,promising_tess_minus_matched_random,-0.9783803689887833,-0.9785366819502371,0.03403613447455963,-1.0469854556489082,-0.9126591010457966,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.2,rescue_tess_minus_matched_random,1.2289988990638185,1.2296437708672383,0.05077628049845107,1.1324226641410151,1.3312108923226418,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.2,cov_activation_increment,-0.08426039999999999,-0.08425011517200001,0.0024965516504263903,-0.08917590900000001,-0.07939666999999999,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.1,promising_tess_minus_matched_random,-0.2039060584331971,-0.20436963380384493,0.04383443343787253,-0.2904981492497243,-0.11905038095987316,5e-05,0.99995,20000,same replication IDs across libraries
mixed_minus_high,0.1,rescue_tess_minus_matched_random,0.20478380844952038,0.2054396683713895,0.04483243236606491,0.11874813386649502,0.293786782079693,0.99995,5e-05,20000,same replication IDs across libraries
mixed_minus_high,0.1,cov_activation_increment,-0.01424719999999999,-0.014271432624,0.002680373200237815,-0.019494861999999995,-0.009015930000000021,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.05,promising_tess_minus_matched_random,0.6642764857095349,0.6641323366961558,0.06495988983599942,0.5393523341987614,0.7933721579402718,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.05,rescue_tess_minus_matched_random,-0.6331335405078613,-0.6328236685217437,0.06015229668264285,-0.7521170353027837,-0.5169075667144856,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.05,cov_activation_increment,0.023560840000000006,0.023552759014,0.0024302969863036553,0.018846166999999994,0.028359165999999984,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.025,promising_tess_minus_matched_random,1.1460279300046876,1.1451784951977442,0.09566026896499773,0.959180050082626,1.3336990739395131,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.025,rescue_tess_minus_matched_random,-1.1065584088845017,-1.105564225730409,0.08999071296062039,-1.2827040222141213,-0.9301055743111754,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.025,cov_activation_increment,0.023870640000000005,0.023849422606000002,0.001988119067758978,0.019961229000000004,0.027773734999999994,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.01,promising_tess_minus_matched_random,1.7651127257194603,1.7670843151299886,0.16299394258547412,1.445006761096892,2.08913182363086,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.01,rescue_tess_minus_matched_random,-1.7294387793120913,-1.7311109066426187,0.15718304055078833,-2.04021241644033,-1.41938850019528,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.01,cov_activation_increment,0.016224000000000006,0.016239674043999997,0.001481186017136036,0.013314412000000005,0.019148241999999996,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.005,promising_tess_minus_matched_random,1.8703291844608505,1.869689835285138,0.2339795544429361,1.4161935072525687,2.33468985950231,1.0,0.0,20000,same replication IDs across libraries
mixed_minus_high,0.005,rescue_tess_minus_matched_random,-1.8507418659886588,-1.8498813157453755,0.22966100354982963,-2.305476483663642,-1.4037028540625944,0.0,1.0,20000,same replication IDs across libraries
mixed_minus_high,0.005,cov_activation_increment,0.008913520000000001,0.008909266784,0.0011085369643172212,0.006758286,0.011104287000000001,1.0,0.0,20000,same replication IDs across libraries
