bootstrap_replication,delta_tess,tess_promising,tess_matched_random,pi_promising,pi_matched_random,pi_base,pi_full,activation_rate,cov_activation_increment,trigger_threshold,trigger_tie_probability,incremental_gain_rate,reverse_transition_rate,reference_unique_repetitions,evaluation_unique_repetitions
11973,0.7606534385820751,7.110229904135679,6.3495764655536036,0.3056,0.27797151999999997,0.2098,0.341,0.5196,0.027628479999999997,0.5276666666666666,0.6666666666666666,0.1328,0.0016,3181.0,3160.0
11974,0.8281654068118973,6.633212533001914,5.805047126190017,0.2884,0.25752048,0.1974,0.3192,0.4936,0.030879519999999994,0.5288666666666667,1.0,0.123,0.0012,3198.0,3173.0
11975,0.7712678991939788,6.43152141425253,5.660253515058551,0.281,0.2519856,0.1896,0.3126,0.5072,0.029014399999999996,0.5284555555555556,1.0,0.1258,0.0028,3188.0,3187.0
11976,0.7214483154288418,6.50759178959698,5.786143474168139,0.2838,0.25680020000000003,0.1978,0.3168,0.4958,0.02699979999999999,0.5289999999999999,0.4,0.12,0.001,3175.0,3167.0
11977,0.8387400335053039,6.803818420071869,5.9650783865665655,0.2946,0.2635902,0.1986,0.3276,0.5038,0.03100979999999999,0.5284777777777778,1.0,0.1302,0.0012,3157.0,3143.0
11978,0.8378668943129961,6.6441744257541515,5.806307531441155,0.2888,0.25756848,0.1924,0.3216,0.5044,0.03123152,0.5286833333333333,1.0,0.1298,0.0006,3158.0,3169.0
11979,0.8606592354549125,6.6441744257541515,5.783515190299239,0.2888,0.2567,0.195,0.32,0.4936,0.0321,0.5286111111111111,1.0,0.127,0.002,3174.0,3142.0
11980,0.7954557132140652,6.803818420071869,6.008362706857804,0.2946,0.26522336,0.1986,0.3298,0.5078,0.029376639999999996,0.5284555555555556,1.0,0.1316,0.0004,3166.0,3158.0
11981,0.8705445080747216,6.909126078869653,6.038581570794931,0.2984,0.2663614,0.2008,0.3286,0.513,0.0320386,0.5283555555555556,0.6666666666666666,0.1296,0.0018,3167.0,3170.0
11982,0.7282893409649338,7.138325781236666,6.410036440271732,0.3066,0.2802072,0.216,0.34,0.5178,0.026392799999999994,0.5282111111111111,1.0,0.1268,0.0028,3141.0,3175.0
11983,0.6934391333976091,6.458655344514577,5.765216211116968,0.282,0.256002,0.1952,0.3156,0.505,0.025998000000000007,0.5289,1.0,0.1222,0.0018,3167.0,3124.0
11984,0.7190436588784772,6.715577360817183,5.996533701938706,0.2914,0.2647774,0.2016,0.3238,0.517,0.026622599999999996,0.5285444444444444,1.0,0.1236,0.0014,3201.0,3178.0
11985,0.8733922497716415,6.6770971339657645,5.803704884194123,0.29,0.25746936,0.1996,0.3152,0.5006,0.03253063999999999,0.5290444444444444,0.5,0.1162,0.0006,3155.0,3164.0
11986,0.7919535809574336,6.30718945475879,5.515235873801356,0.2764,0.2464008,0.1842,0.3114,0.489,0.029999200000000004,0.5286833333333333,1.0,0.1282,0.001,3139.0,3161.0
