library,mapping_status,alpha,candidate_order,candidate,trigger_threshold,regular_quantile_threshold,regular_quantile_index_zero_based,plus_one_threshold,plus_one_index_zero_based,plus_one_attainable,plus_one_minus_regular_threshold,candidate_minus_trigger_gap,absolute_gap,exact_coincidence,candidate_threshold_tie_count,candidate_threshold_tie_mass,candidate_lower_spacing,candidate_upper_spacing,trigger_lower_spacing,trigger_upper_spacing,gap_in_local_score_spacings,regularity_classification
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,3,logreg_l2_c1,0.5118555555555555,0.5496222222222222,9499,0.5496444444444444,9500,True,2.222222222214576e-05,0.037766666666666726,0.037766666666666726,False,1,0.0001,1.111111111107288e-05,2.222222222214576e-05,1.111111111107288e-05,1.1102230246251565e-16,340171891854052.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,4,logreg_l2_c10,0.5118555555555555,0.5498333333333333,9499,0.5498888888888889,9500,True,5.5555555555586444e-05,0.03797777777777778,0.03797777777777778,False,1,0.0001,5.555555555547542e-05,5.5555555555586444e-05,1.111111111107288e-05,1.1102230246251565e-16,342073411696719.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,5,logreg_l1_c01,0.5118555555555555,0.5492,9499,0.5492222222222222,9500,True,2.222222222214576e-05,0.03734444444444451,0.03734444444444451,False,1,0.0001,1.1111111111183902e-05,2.222222222214576e-05,1.111111111107288e-05,1.1102230246251565e-16,336368852168717.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,6,elastic_net_logreg,0.5118555555555555,0.5493222222222223,9499,0.5495444444444444,9500,True,0.00022222222222212373,0.03746666666666676,0.03746666666666676,False,1,0.0001,1.1111111111183902e-05,0.00022222222222212373,1.111111111107288e-05,1.1102230246251565e-16,337469732077630.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.05,7,linear_svm_c1,0.5118555555555555,0.5495222222222221,9499,0.5495333333333333,9500,True,1.1111111111183902e-05,0.037666666666666626,0.037666666666666626,False,1,0.0001,4.444444444440254e-05,1.1111111111183902e-05,1.111111111107288e-05,1.1102230246251565e-16,339271171928577.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,1,logreg_l2_c003,0.5118555555555555,0.5595555555555556,9749,0.5596333333333333,9750,True,7.77777777777322e-05,0.047700000000000076,0.047700000000000076,False,1,0.0001,2.2222222222256782e-05,7.77777777777322e-05,1.111111111107288e-05,1.1102230246251565e-16,429643404451146.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,2,logreg_l2_c01,0.5118555555555555,0.5597333333333333,9749,0.5597666666666666,9750,True,3.333333333332966e-05,0.0478777777777778,0.0478777777777778,False,1,0.0001,6.666666666665932e-05,3.333333333332966e-05,1.111111111107288e-05,1.1102230246251565e-16,431244684318655.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,3,logreg_l2_c1,0.5118555555555555,0.5598555555555556,9749,0.5599999999999999,9750,True,0.00014444444444439153,0.04800000000000004,0.04800000000000004,False,1,0.0001,0.00012222222222224577,0.00014444444444439153,1.111111111107288e-05,1.1102230246251565e-16,432345564227568.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,4,logreg_l2_c10,0.5118555555555555,0.5598222222222222,9749,0.5598666666666666,9750,True,4.444444444440254e-05,0.04796666666666671,0.04796666666666671,False,1,0.0001,4.4444444444513564e-05,4.444444444440254e-05,1.111111111107288e-05,1.1102230246251565e-16,432045324252410.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,5,logreg_l1_c01,0.5118555555555555,0.5594444444444445,9749,0.5594666666666667,9750,True,2.222222222214576e-05,0.047588888888889014,0.047588888888889014,False,1,0.0001,4.444444444462459e-05,2.222222222214576e-05,1.111111111107288e-05,1.1102230246251565e-16,428642604533953.0,empirically_separated
