model,error,roc_auc,average_precision,pauc_fpr_0_10,mannwhitney_p,replication,seed
decision_tree,,0.6228693874341432,0.3455930506574415,0.532219910474464,3.2243999393789587e-18,185,2952272912
random_forest,,0.7270535503656523,0.46043473686332365,0.5631086444585159,3.555927578968864e-49,185,2952272912
hist_gradient_boosting,,0.7360824093732798,0.46324631005138867,0.5638246358997281,5.389592579468228e-53,185,2952272912
logistic_regression,,0.7430683337265078,0.4733694584502996,0.5711997616120982,4.73207590395222e-56,186,4181918824
linear_svm,,0.7429912715263034,0.47617839359501357,0.5727807369331562,5.119769622798363e-56,186,4181918824
rbf_svm,,0.6717323268066369,0.424719840957394,0.5588002797746903,5.403241930983343e-29,186,4181918824
gaussian_nb,,0.725378627034678,0.45628092926007424,0.5676322204425903,1.750854718188156e-48,186,4181918824
decision_tree,,0.6181104033970276,0.3483123499018903,0.5344938188831361,2.865622043251156e-17,186,4181918824
random_forest,,0.7295046001415428,0.4604772773577676,0.561726325722303,3.378345381993759e-50,186,4181918824
hist_gradient_boosting,,0.7264433435558699,0.4496357011115427,0.5579808213622047,6.364416320595759e-49,186,4181918824
logistic_regression,,0.7357096799559646,0.48151486709202274,0.5723172049018512,7.800991248110527e-53,187,3080965017
linear_svm,,0.7344515215852796,0.48271665267155295,0.5723834237634662,2.70632820277103e-52,187,3080965017
rbf_svm,,0.6813808288118267,0.4372981363345573,0.5657035960980535,4.083527047701711e-32,187,3080965017
gaussian_nb,,0.538021545962098,0.2741949194936822,0.5021912491955631,6.843199352310894e-09,187,3080965017
decision_tree,,0.5958213415113627,0.32783807143160526,0.5273326872125292,8.347322812769712e-12,187,3080965017
random_forest,,0.7274239207360226,0.44210262985820103,0.5590403231480446,2.4956376327681475e-49,187,3080965017
hist_gradient_boosting,,0.728668711174019,0.44598170711926544,0.5536269312110188,7.5604553345245395e-50,187,3080965017
logistic_regression,,0.7394149563576314,0.4676061468793235,0.567516337434764,1.9253775504873187e-54,188,482085559
linear_svm,,0.7388299127152631,0.4708322181345272,0.571017659742657,3.467416725023525e-54,188,482085559
rbf_svm,,0.674108673429268,0.4276660051198623,0.5649751886202886,9.537271026302429e-30,188,482085559
gaussian_nb,,0.5354918612880396,0.2731179169100935,0.5020380918982832,4.1288952876551885e-08,188,482085559
decision_tree,,0.6019800267358653,0.3310046523534691,0.5281419815166603,2.9041916504313116e-13,188,482085559
random_forest,,0.7292962176613982,0.44563702332197197,0.5557542121404005,4.130819171802349e-50,188,482085559
hist_gradient_boosting,,0.7284076433121021,0.4513273559311988,0.5559114819367361,9.71746131969708e-50,188,482085559
logistic_regression,,0.7350947550522922,0.47489586823597285,0.5758350819251479,1.4339886376609925e-52,189,1556797813
linear_svm,,0.7341244004089016,0.4743213533798232,0.5756033159094953,3.735690165904058e-52,189,1556797813
rbf_svm,,0.6776032083038452,0.4421567253362003,0.565082794270413,7.132553569257057e-31,189,1556797813
gaussian_nb,,0.7388393489030433,0.46082515254121614,0.5598018400566172,3.4347105983169243e-54,189,1556797813
decision_tree,,0.5746866399308014,0.321791793142248,0.5316019504124861,6.643352048424805e-08,189,1556797813
random_forest,,0.7203412754580483,0.46758654410323186,0.5725738029906093,1.97121473943887e-46,189,1556797813
hist_gradient_boosting,,0.7267185656994574,0.4647338185909378,0.5703058069802958,4.895748702024512e-49,189,1556797813
logistic_regression,,0.7444224266729575,0.47000961247229167,0.5669865865418441,1.1813430548935818e-56,190,577830362
linear_svm,,0.7427585122277267,0.47225891260730457,0.5683026864164422,6.493505069664204e-56,190,577830362
rbf_svm,,0.6636093418259024,0.41884435921628216,0.558229142093261,1.700011605261834e-26,190,577830362
gaussian_nb,,0.7295855940866556,0.45270992813835553,0.5616973549703463,3.124206974517455e-50,190,577830362
decision_tree,,0.6153857041755131,0.34727180484423276,0.5394158497414111,9.791607741945712e-17,190,577830362
random_forest,,0.7236903357710152,0.44764555767078373,0.5607537361923327,8.628423865059102e-48,190,577830362
hist_gradient_boosting,,0.7285161594715734,0.44450566862418356,0.5525177652789677,8.755047519655206e-50,190,577830362
logistic_regression,,0.7428780372729417,0.47572411070164417,0.571083878604272,5.747540991803143e-56,191,1132602263
linear_svm,,0.7429802626405599,0.47854168452520934,0.5725241388443981,5.177678403623594e-56,191,1132602263
rbf_svm,,0.6804985452543839,0.42004778439461127,0.5602819268033259,8.006942746053891e-32,191,1132602263
gaussian_nb,,0.5343304238421012,0.2725742558457869,0.5019542620893734,1.0745672293066659e-07,191,1132602263
decision_tree,,0.6092144373673036,0.3295006562488697,0.524992446911097,5.305436230147611e-15,191,1132602263
random_forest,,0.7259683887709366,0.44170153120931044,0.5639405189075544,1.000143044887865e-48,191,1132602263
hist_gradient_boosting,,0.7285082959817566,0.44843191945501437,0.5572275818113341,8.82147829626024e-50,191,1132602263
logistic_regression,,0.731362742785248,0.4571678864708803,0.5694449617793008,5.578132679992925e-51,192,2790867745
linear_svm,,0.7296186207438862,0.45994211872165236,0.5714646370585582,3.026121778177066e-50,192,2790867745
rbf_svm,,0.6674231343870409,0.43007783460070004,0.5663161205679923,1.1818005315003855e-27,192,2790867745
gaussian_nb,,0.7275992765589367,0.462116095633347,0.5709348861656383,2.1100428739800697e-49,192,2790867745
decision_tree,,0.6121286466934025,0.34377313874055615,0.5362672427707628,9.70127215787955e-16,192,2790867745
random_forest,,0.7130258708814973,0.4456575861108367,0.5677067166619072,1.5566297775584563e-43,192,2790867745
hist_gradient_boosting,,0.7264103168986396,0.4579695808467844,0.5630548416334538,6.567832281252822e-49,192,2790867745
logistic_regression,,0.738097035464339,0.47086105735227257,0.5716798483588069,7.230706952349696e-54,193,1423402176
linear_svm,,0.7373657309113786,0.4729264501846633,0.5717626219358256,1.5021068838911408e-53,193,1423402176
rbf_svm,,0.6720641660769049,0.4110110343970905,0.5538421425112675,4.247013127286928e-29,193,1423402176
gaussian_nb,,0.7337626798773296,0.4734642420188663,0.575106674447383,5.332640244335371e-52,193,1423402176
decision_tree,,0.588001887237556,0.32453086561399924,0.5287650596176688,3.03481641398897e-10,193,1423402176
random_forest,,0.7260643233467013,0.44899682018335163,0.5619787851322101,9.129439081964126e-49,193,1423402176
hist_gradient_boosting,,0.7174726743728868,0.43075574805539807,0.5491240486211991,2.7698712307997494e-45,193,1423402176
logistic_regression,,0.7272391287253283,0.4575710483058065,0.5692049184059464,2.9780761361226054e-49,194,1807686006
linear_svm,,0.7283698985609814,0.45962057225483166,0.5701402598262583,1.007632924920655e-49,194,1807686006
rbf_svm,,0.6624974443658096,0.42917820451353095,0.5652648961398542,3.656764320381526e-26,194,1807686006
gaussian_nb,,0.5345301564834474,0.27278453491092014,0.5020002052892558,3.335049074754771e-07,194,1807686006
decision_tree,,0.6025690021231422,0.33643877860445387,0.5287604553374472,2.9365760537074494e-13,194,1807686006
random_forest,,0.7225336164189667,0.44277712235352473,0.561068275785004,2.55586727366905e-47,194,1807686006
hist_gradient_boosting,,0.7371581347802155,0.4667900045596627,0.5649669112625868,1.847815659443575e-53,194,1807686006
logistic_regression,,0.7432995203271211,0.4708917624097754,0.5700326541761339,3.7358635223916924e-56,195,945497333
linear_svm,,0.7432256035228434,0.47268079581042344,0.5709928276695513,4.0292574823343766e-56,195,945497333
rbf_svm,,0.6891012031139419,0.4427458017131308,0.5596611249756853,9.820763045576052e-35,195,945497333
gaussian_nb,,0.7445875599591099,0.47493232228114834,0.5711004333196757,9.969003635290218e-57,195,945497333
decision_tree,,0.6167248564913108,0.3540135879309848,0.542605629430973,1.1701365470494838e-16,195,945497333
random_forest,,0.7347125894471968,0.477269662162943,0.5696518957218477,2.091788002932294e-52,195,945497333
hist_gradient_boosting,,0.7435181253440277,0.46497005757638804,0.5546947103545606,2.9869510696465315e-56,195,945497333
logistic_regression,,0.7406337972792325,0.48292066294666613,0.5746762518468854,5.6266967658689245e-55,196,2764545561
