replication,seed,roc_auc,average_precision,pauc_fpr_0_10
285,1049998826,0.7387135330659746,0.4728824304431226,0.57239997847887
286,3347885755,0.738927419988991,0.47540654229520024,0.5736415821341512
287,712606398,0.7431721317920894,0.47181971283429275,0.5739064575806111
288,2719796280,0.7420130533930959,0.4637623139749403,0.5690228165365052
289,2430651363,0.7409947314618227,0.47400188430221973,0.5706700107191782
290,1949202955,0.7434473539356767,0.4743538862132536,0.5738733481498036
291,445976425,0.7419863175277188,0.4647640306435714,0.5687910505208528
292,1196497428,0.7325925925925927,0.4708457832203894,0.5726317444945225
293,3006807023,0.7353558229142093,0.456351310550858,0.5695442900717232
294,277998717,0.7417095226861682,0.47847071757876475,0.5753467178207372
295,3661679396,0.7413603837383032,0.47403145748232567,0.5711087106773776
296,1312911000,0.7399811276244397,0.4707431294396948,0.5721433803901119
297,3353264176,0.7444664622159314,0.47911263091810163,0.5737988519304867
298,1848192428,0.7312715263033733,0.47635232129241034,0.5780203043584426
299,2323860331,0.7402500589761737,0.46828949016884835,0.5719281690898631
300,632940701,0.7307336635999057,0.4626002358962099,0.5736995236380642
301,1198503724,0.7428670283871981,0.4833763580052322,0.5742375518886861
302,2568844942,0.738600298812613,0.46541988888485586,0.5654883847978048
303,722728120,0.7385625540614925,0.4719831192224354,0.5729711161602993
304,3178454995,0.741214122827711,0.47200276141479064,0.5722758181133418
305,1519904511,0.742388928206338,0.48406359471632776,0.5777140421234733
306,2524345597,0.7382841865219785,0.47202013350567673,0.5749328499356435
307,2528668052,0.732320515844932,0.46239975220562407,0.5756529800557066
308,833296553,0.7343398600298813,0.46657895485384765,0.573318765183778
309,2649861259,0.7405677439647715,0.4650759701987037,0.5693870202753877
310,3241902573,0.742027207674766,0.46776187931308033,0.5745024273351461
311,1458761017,0.7375607454588347,0.4703045563270219,0.5752142800975073
312,1592608521,0.7407800581898246,0.47645818950432284,0.5778382024890014
313,2422151678,0.7418494928049069,0.47679557922637367,0.5755453744055823
314,2467554529,0.7346323818510656,0.47698074543748215,0.5733270425414799
315,725248387,0.7430667610285445,0.48534105394233834,0.5768614742801803
316,1548312668,0.7365227648030197,0.4849794102895855,0.583210207637518
317,988327661,0.7403475662499016,0.4755702726063262,0.5762655045256453
318,914668658,0.7416607690493041,0.4712045284668278,0.574436208473531
319,1166063040,0.7444019815994338,0.4909060018401308,0.5757191989173216
320,3449010216,0.7401258158370686,0.4724909575958397,0.5732359916067593
321,879473295,0.736511755917276,0.4620712632927655,0.5696022315756364
322,2802956804,0.743974207753401,0.4854274589049834,0.5796923306142213
323,2054790449,0.7467091295116772,0.47681331383023784,0.5721433803901119
324,4173234527,0.7439097271369034,0.4734014642975354,0.5724744746981869
325,4256568052,0.7496500747031534,0.4891740576722646,0.5781941288701821
326,2696888829,0.7356797986946606,0.466355537407229,0.5699250485260096
327,1030266088,0.7422143587324054,0.4947833157767555,0.5801310305724207
328,977305003,0.7367633875914131,0.4741953120535997,0.5785003911051514
329,280074897,0.7415899976409531,0.4732105053359438,0.5697926108027795
330,858346908,0.7340080207596131,0.45426318051341186,0.5665727186567504
331,4136923307,0.7404309192419596,0.48197703979776635,0.5747838574970098
332,665889076,0.7398616025792246,0.48165947715906055,0.577209123303659
333,2016873748,0.7434221907682629,0.4751155816965871,0.5736664142072567
334,4106044452,0.7394715734843123,0.46879764944408403,0.5687910505208528
335,755217954,0.7331682000471809,0.4724410296186966,0.574775580139308
