library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,1341,elastic_net_logreg,0.4643222222222222,0.8800239952009599,elastic_net_logreg,0.4643222222222222,0.8802239552089582,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1418,logreg_l2_c10,0.4747888888888888,0.8004399120175965,logreg_l2_c10,0.4747888888888888,0.8006398720255948,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1442,linear_svm_c1,0.4861111111111111,0.6882623475304939,linear_svm_c1,0.4861111111111111,0.6886622675464907,True,0.0,0.00039992001599686855,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1530,logreg_l2_c01,0.4967222222222222,0.5438912217556489,logreg_l2_c01,0.4967222222222222,0.5440911817636472,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1771,logreg_l2_c10,0.4850444444444444,0.6948610277944411,logreg_l2_c10,0.4850444444444444,0.6950609878024395,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1954,linear_svm_c1,0.4858666666666666,0.6908618276344731,linear_svm_c1,0.4858666666666666,0.6910617876424715,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1955,logreg_l1_c01,0.4955888888888889,0.5692861427714457,logreg_l1_c01,0.4955888888888889,0.5694861027794441,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1974,logreg_l1_c01,0.4818777777777778,0.73125374925015,logreg_l1_c01,0.4818777777777778,0.7314537092581483,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,1979,logreg_l1_c01,0.4939222222222222,0.589882023595281,logreg_l1_c01,0.4939222222222222,0.5900819836032793,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2067,logreg_l2_c10,0.4875,0.6642671465706859,logreg_l2_c10,0.4875,0.6646670665866826,True,0.0,0.00039992001599675753,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2080,logreg_l1_c01,0.4893222222222222,0.6440711857628474,logreg_l1_c01,0.4893222222222222,0.6442711457708459,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2102,logreg_l1_c01,0.4915444444444444,0.6186762647470506,logreg_l1_c01,0.4915444444444444,0.618876224755049,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2142,elastic_net_logreg,0.4745111111111111,0.8034393121375725,elastic_net_logreg,0.4745111111111111,0.8038392321535693,True,0.0,0.00039992001599686855,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2282,elastic_net_logreg,0.4758333333333333,0.7920415916816637,elastic_net_logreg,0.4758333333333333,0.792241551689662,True,0.0,0.00019996000799837876,False,False,False,False,False,False
