dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability,cell_key,declared_trigger_cdf,benchmark_trigger_cdf,trigger_cdf_error,trigger_cdf_mcse,trigger_cdf_error_z,predicted_delta_pi_bias_from_cdf,predicted_delta_s_bias_from_cdf,finite_n_covariance_bias_delta_pi,predicted_delta_pi_bias_cdf_plus_finite_n,benchmark_mcse_delta_pi,benchmark_mcse_delta_s,benchmark_beta_delta_trigger,benchmark_maximum_density,benchmark_delta_pi,benchmark_delta_s,delta_pi_bias_fail,delta_pi_bias_excess,delta_pi_standardized_bias_mcse,delta_pi_bias_excess_in_mcse,delta_pi_variance_fail,delta_pi_variance_boundary_distance,delta_pi_variance_ratio_mcse_approx,delta_pi_variance_excess_in_mcse_approx,delta_pi_coverage_fail,delta_pi_coverage_boundary_distance,delta_pi_coverage_mcse,delta_pi_coverage_excess_in_mcse,delta_s_bias_fail,delta_s_bias_excess,delta_s_standardized_bias_mcse,delta_s_bias_excess_in_mcse,delta_s_variance_fail,delta_s_variance_boundary_distance,delta_s_variance_ratio_mcse_approx,delta_s_variance_excess_in_mcse_approx,delta_s_coverage_fail,delta_s_coverage_boundary_distance,delta_s_coverage_mcse,delta_s_coverage_excess_in_mcse,plus_one_delta_pi_fail,plus_one_delta_s_fail,plus_one_sign_delta_pi_fail,plus_one_sign_delta_s_fail
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.0141916712588699,-0.014322208,-0.00013053674113,-0.0583191103516385,5.108226631051524e-06,5.010069517565137e-06,1.0195919663673831,0.9495,-0.3498876988385859,-0.355180895259759,-0.005293196421173,-0.0879892125371626,0.0037614089884132,0.003618904798679,1.0393777116729557,0.9495,0.0002847439165285,0.1259851553488707,0.0075774537452074,0.1235514978890844,0.0,0.0,0.0192415,0.005608,main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,1.4191671258869998e-05,-5.78870815039034e-06,1.6052716820125773e-05,0.00042573002823213145,0.1159491,0.2380771415701307,-0.014191671258869998,-0.34988769883858595,False,-0.1416808896483615,0.02257866212120841,-6.274990470550464,False,0.0,0.032250392583529935,0.0,False,0.0,0.0048964145045124596,0.0,False,-0.11201078746283741,0.022796685194046918,-4.913468186685654,False,0.0,0.03287622926595876,0.0,False,0.0,0.0048964145045124596,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0141916712588699,-0.0143229441111111,-0.0001312728522411,-0.1015812781088445,1.8255131200907984e-06,1.6700231725217125e-06,1.0931064611123318,0.9395,-0.3498876988385859,-0.3539887840961524,-0.0041010852575664,-0.1180785050569083,0.0013269634400226,0.0012063015995596,1.100026262509302,0.9375,9.58189391766485e-05,0.0709183918775568,0.0025367623501824,0.0696386437882557,0.0,0.0,0.0065214999999999,0.0018725,main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,4.730557086289999e-06,-1.524982232297034e-05,1.6052716820125773e-05,0.00042573002823213145,0.1159491,0.2380771415701307,-0.014191671258869998,-0.34988769883858595,False,-0.09841872189115551,0.023378477934976133,-4.209800234424713,False,0.0,0.034575706428980696,0.0,False,0.0,0.005331029450303197,0.0,False,-0.08192149494309171,0.023452358756735986,-3.4931025826799713,False,0.0,0.03479458448904177,0.0,False,0.0,0.005412658773652742,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,-0.0141916712588699,-0.01429055762,-9.88863611300038e-05,-0.0858604383004972,1.4040763603305013e-06,1.326436882778847e-06,1.0585323572946808,0.9425,-0.3498876988385859,-0.3529889529625747,-0.0031012541239888,-0.0998515196200664,0.0010291306672963,0.0009646401903082,1.0668544371632391,0.944,8.289356627869262e-05,0.069956079191075,0.00226187697945,0.0705072409601652,0.0,0.0,0.0065519,0.0018636,main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,2.8383342517739995e-06,-1.7142045157486338e-05,1.6052716820125773e-05,0.00042573002823213145,0.1159491,0.2380771415701307,-0.014191671258869998,-0.34988769883858595,False,-0.11413956169950282,0.023005785764614525,-4.961341588908571,False,0.0,0.03348210383291905,0.0,False,0.0,0.005205465877325487,0.0,False,-0.10014848037993361,0.023096043353388898,-4.336174765849613,False,0.0,0.03374533692196419,0.0,False,0.0,0.005141206084179083,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-0.0141916712588699,-0.0142473864799999,-5.571522113000105e-05,-0.055659203187083,1.008537872310165e-06,1.0020139035130276e-06,1.006510856560238,0.951,-0.3498876988385859,-0.3517411114791103,-0.0018534126405244,-0.0688919604513652,0.0007353991208137,0.0007237809597358,1.01605204022243,0.952,5.7321156220020686e-05,0.057078011713294,0.0015123486297565,0.0557686798461889,0.0,0.0,0.0040184999999999,0.0011482,main|gain_coupled_k20_max_trigger|0.05|above_all_base_thresholds,0.8774319797369772,0.8776043,-0.00017232026302282932,0.00010364120446111672,-1.6626617175939813,-1.998037940926034e-05,-0.0004970519810936681,2.8383342517739995e-06,-1.7142045157486338e-05,1.6052716820125773e-05,0.00042573002823213145,0.1159491,0.2380771415701307,-0.014191671258869998,-0.34988769883858595,False,-0.144340796812917,0.02243335526130942,-6.434204564212474,False,0.0,0.03183662811634632,0.0,False,0.0,0.004826955562256609,0.0,False,-0.1311080395486348,0.022539432559654536,-5.816829647402814,False,0.0,0.03213842229378924,0.0,False,0.0,0.004779958158812692,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,0.0047534510748599,0.00365566,-0.0010977910748599,-0.1871310739062678,3.426485663371686e-05,3.44149839513222e-05,0.9956377339063216,0.943,0.1219714557552205,0.0933894573242963,-0.0285819984309242,-0.190802666011579,0.022664474839365,0.0224396616792704,1.010018562815602,0.941,0.0015419831566849,0.2634238970560348,0.0394107828423713,0.2617834768297203,0.0715,0.0715,0.01957,0.0056315,main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-4.753451074859999e-06,-2.3945249659684546e-06,4.8194503229954025e-05,0.0012354383922998976,-0.2078049017243017,0.4181550894061094,0.004753451074859999,0.1219714557552205,False,-0.01286892609373222,0.022311854852368522,-0.5767752694198849,False,0.0,0.031492703795868375,0.0,False,0.0,0.005184158562389852,0.0,False,-0.009197333988421014,0.02247241156190855,-0.40927222977754585,False,0.0,0.03194757926890025,0.0,False,0.0,0.005268728499363013,0.0,True,True,True,True
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,0.0047534510748599,0.0045070574444444,-0.0002463936304155,-0.0727472060360924,1.1715389132365076e-05,1.14716613171074e-05,1.0212460783595667,0.9485,0.1219714557552205,0.1154931484518197,-0.0064783073034007,-0.0749055539661485,0.007673470188791,0.0074798872264234,1.0258804653743556,0.945,0.0005228294707055,0.15275016940109,0.0133056922310528,0.1518943321120367,0.02,0.02,0.0066708333333333,0.0018961666666666,main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-1.5844836916199996e-06,7.744424172715448e-07,4.8194503229954025e-05,0.0012354383922998976,-0.2078049017243017,0.4181550894061094,0.004753451074859999,0.1219714557552205,False,-0.1272527939639076,0.022596969690199243,-5.631409684949911,False,0.0,0.0323027132793423,0.0,False,0.0,0.004942051699446293,0.0,False,-0.1250944460338515,0.022648183871718672,-5.52337647655978,False,0.0,0.03244930211638803,0.0,False,0.0,0.005097793640389931,0.0,True,True,True,True
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,0.0047534510748599,0.00449275566,-0.0002606954148599,-0.0900841507199986,8.751287103967546e-06,8.374714461664667e-06,1.044965430645623,0.9465,0.1219714557552205,0.1151198079761393,-0.0068516477790811,-0.0928546526861469,0.005720250196384,0.0054448098648654,1.0505876859532002,0.9455,0.0004833217462701,0.1633805561035274,0.012277188775584,0.1623272462700541,0.015,0.015,0.0066067,0.0018908999999999,main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-9.506902149719998e-07,1.4082358939195445e-06,4.8194503229954025e-05,0.0012354383922998976,-0.2078049017243017,0.4181550894061094,0.004753451074859999,0.1219714557552205,False,-0.10991584928000141,0.022857880814345224,-4.808663155292159,False,0.0,0.033052972646114065,0.0,False,0.0,0.005031786462082825,0.0,False,-0.10714534731385311,0.022919289757245973,-4.674898238501432,False,0.0,0.03323080843420899,0.0,False,0.0,0.005075911248239078,0.0,True,True,True,True
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,0.0047534510748599,0.0046079617599999,-0.00014548931486,-0.0554552050133996,6.7196556443710875e-06,6.88299679026444e-06,0.976268891171882,0.948,0.1219714557552205,0.1181630171137965,-0.0038084386414239,-0.0568491286853012,0.0043915047688512,0.004487932335854,0.978514032791337,0.949,0.0003191768307455,0.1231282903321791,0.008123813634187,0.1225894996540926,0.0095,0.0095,0.0039825999999999,0.0011355999999999,main|gain_coupled_k20_max_trigger|0.05|below_all_base_thresholds,0.6919832483615674,0.6919946,-1.135163843257736e-05,0.00014599249075580566,-0.07775494735249554,2.3589261088915443e-06,6.0930040193533974e-05,-9.506902149719998e-07,1.4082358939195445e-06,4.8194503229954025e-05,0.0012354383922998976,-0.2078049017243017,0.4181550894061094,0.004753451074859999,0.1219714557552205,False,-0.14454479498660042,0.02209376485766835,-6.542334270224275,False,0.0,0.030880054027451843,0.0,False,0.0,0.0049646752159632785,0.0,False,-0.1431508713146988,0.02211915496567779,-6.471805615396496,False,0.0,0.03095106939538478,0.0,False,0.0,0.004919298730510276,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,-0.03369333679716,-0.033685487,7.849797160022765e-06,0.0021123082868938,1.392717862314257e-05,1.381027299594863e-05,1.0084651206553437,0.95,-0.5000382607667793,-0.5021401972913498,-0.0021019365245705,-0.0326664662573465,0.0041841230593316,0.0041403292667258,1.0105773695241402,0.9555,0.0004150913128457,0.1112274732775684,0.006323333526771,0.0977560995349116,0.0,0.0,0.019572,0.004063,main|gain_coupled_k20_max_trigger|0.1|above_all_base_thresholds,0.768705336666643,0.7687268,-2.146333335706352e-05,0.00013333638174247865,-0.16097131987964897,-3.126913622457163e-06,-4.765029249979729e-05,3.369333679716002e-05,3.056642317470286e-05,2.856581948813591e-05,0.00047793926823531014,0.1456863,0.36047205580589214,-0.03369333679716002,-0.5000382607667793,False,-0.19788769171310622,0.02245512325345091,-8.812585416679678,False,0.0,0.03189844282885686,0.0,False,0.0,0.004873397172404485,0.0,False,-0.1673335337426535,0.022478627288205794,-7.444117098309244,False,0.0,0.031965254708020155,0.0,False,0.0,0.004610843198374891,0.0,False,False,False,False
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-0.03369333679716,-0.0337680623333333,-7.472553617331179e-05,-0.0348279999718126,4.610126708962862e-06,4.603424331982877e-06,1.001455954632168,0.949,-0.5000382607667793,-0.5023620783791333,-0.002323817612354,-0.0625525798602616,0.0013863337464039,0.0013801097555752,1.0045097796052542,0.9505,0.0001368160896564,0.0637207300139835,0.0021339929494548,0.0573137840099358,0.0,0.0,0.0066761666666666,0.0013621666666666,main|gain_coupled_k20_max_trigger|0.1|above_all_base_thresholds,0.768705336666643,0.7687268,-2.146333335706352e-05,0.00013333638174247865,-0.16097131987964897,-3.126913622457163e-06,-4.765029249979729e-05,1.1231112265720008e-05,8.104198643262845e-06,2.856581948813591e-05,0.00047793926823531014,0.1456863,0.36047205580589214,-0.03369333679716002,-0.5000382607667793,False,-0.1651720000281874,0.022376951921923682,-7.38134490365335,False,0.0,0.03167673810443075,0.0,False,0.0,0.004919298730510276,0.0,False,-0.13744742013973843,0.022411043924873895,-6.133021763755783,False,0.0,0.03177333268099878,0.0,False,0.0,0.004850244839180801,0.0,False,False,False,False
