dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,true_delta_pi,mean_delta_pi,bias_delta_pi,standardized_bias_delta_pi,empirical_variance_delta_pi,exact_variance_delta_pi,empirical_to_exact_variance_ratio_delta_pi,normal_coverage_delta_pi,true_delta_s,mean_delta_s,bias_delta_s,standardized_bias_delta_s,empirical_variance_delta_s,exact_variance_delta_s,empirical_to_exact_variance_ratio_delta_s,normal_coverage_delta_s,bridge_rms_delta_pi,bridge_rms_to_empirical_sd_delta_pi,bridge_rms_delta_s,bridge_rms_to_empirical_sd_delta_s,strict_sign_reversal_frequency_delta_pi,strict_sign_reversal_frequency_delta_s,mean_interval_union_probability,mean_pathwise_disagreement_probability
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-0.0011584173922599972,-0.0011924667222222222,-3.404932996222505e-05,-0.14454779795203307,5.712529745489719e-08,5.548737506743466e-08,1.0295188299225173,0.943,-0.12158318394840606,-0.12542967792357218,-0.003846493975166121,-0.15268761039356984,0.0006569982520672161,0.0006346328033044747,1.0352415580258167,0.942,3.562361662897801e-05,0.1490471826224461,0.003884593314333041,0.15155262090118143,0.0,0.0,0.006465166666666667,0.0030273333333333333
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-0.0011584173922599972,-0.0011965101200000002,-3.809272774000301e-05,-0.17910274074194524,5.0494829621196214e-08,4.5235529876167666e-08,1.1162647980343303,0.94,-0.12158318394840606,-0.12587693409481507,-0.004293750146409009,-0.1887071293068819,0.0005816312959725106,0.0005177223602394491,1.123442487018531,0.9385,3.332908518396513e-05,0.14832007545636489,0.0036568974907218387,0.15163131562588575,0.0,0.0,0.006466099999999999,0.0030245
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-0.0011584173922599972,-0.00117886924,-2.045184774000287e-05,-0.11208818465840502,3.410970883624055e-08,3.32924250404608e-08,1.0245486411634626,0.942,-0.12158318394840606,-0.12391973907838588,-0.0023365551299798226,-0.11973997111862923,0.00039162162260733156,0.00038077968198268477,1.0284730019422093,0.9415,2.1261693159294904e-05,0.1151221363103884,0.0023199100873242374,0.11722974546676841,0.0,0.0,0.003954399999999999,0.0018250999999999999
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,0.007283276249500009,0.006265103500000001,-0.0010181727495000084,-0.2992208356390553,1.065251738347949e-05,1.1578685979050881e-05,0.9200109064839401,0.96,0.7704774205260767,0.6652410609636508,-0.10523635956242594,-0.2923539560097099,0.12014154194513142,0.12957275188568879,0.9272130150567633,0.96,0.0016285710729040965,0.49897707250165907,0.17078529223819797,0.4927241698020704,0.0125,0.0125,0.0184435,0.009019500000000001
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,0.007283276249500009,0.006907231722222223,-0.0003760445272777864,-0.1914124852583547,3.7827740618727856e-06,3.85956199301696e-06,0.9801044959808637,0.9515,0.7704774205260767,0.7316818650023325,-0.03879555552374425,-0.18667482855880713,0.04248321709359205,0.0431909172952296,0.9836146058950288,0.9505,0.0005524233613401239,0.2840317141945276,0.05775615494310261,0.28021383532863603,0.0,0.0,0.006502333333333335,0.003054333333333333
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,0.007283276249500009,0.006913572220000001,-0.00036970402950000855,-0.2271147016691756,2.450966734271408e-06,2.6498291425271214e-06,0.9249527431545795,0.958,0.7704774205260767,0.7323674071576113,-0.03811001336846542,-0.22158593237822843,0.02743948707951208,0.029579704539361096,0.9276457458524958,0.9565,0.00046221909215003217,0.29524270238274086,0.04814685235517425,0.2906564102636818,0.0,0.0,0.0064578,0.0030074999999999998
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,0.007283276249500009,0.00705964974,-0.00022362650950000923,-0.14695306527681873,2.395118963133099e-06,2.315737195810176e-06,1.0342792642734016,0.9425,0.7704774205260767,0.7475143571142178,-0.02296306341185894,-0.14264547057101815,0.026862419108771175,0.025914550377137757,1.0365766998785997,0.941,0.00033852523906261405,0.21873964796203055,0.035366213416585975,0.21578239197054572,0.0,0.0,0.0040177,0.0018684
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.014191671258869998,-0.014322208,-0.00013053674113000166,-0.0583191103516385,5.108226631051524e-06,5.010069517565137e-06,1.0195919663673831,0.9495,-0.34988769883858595,-0.355180895259759,-0.005293196421173041,-0.08798921253716269,0.0037614089884132756,0.003618904798679018,1.0393777116729557,0.9495,0.00028474391652851916,0.1259851553488707,0.007577453745207459,0.12355149788908444,0.0,0.0,0.0192415,0.005608
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.014191671258869998,-0.01432294411111111,-0.00013127285224111274,-0.10158127810884454,1.8255131200907984e-06,1.6700231725217125e-06,1.0931064611123318,0.9395,-0.34988769883858595,-0.3539887840961524,-0.0041010852575664725,-0.1180785050569083,0.0013269634400226193,0.0012063015995596726,1.100026262509302,0.9375,9.58189391766485e-05,0.07091839187755686,0.002536762350182461,0.0696386437882557,0.0,0.0,0.0065214999999999995,0.0018725
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,-0.014191671258869998,-0.014290557620000002,-9.888636113000379e-05,-0.08586043830049725,1.4040763603305013e-06,1.326436882778847e-06,1.0585323572946808,0.9425,-0.34988769883858595,-0.35298895296257476,-0.003101254123988817,-0.09985151962006648,0.0010291306672963983,0.0009646401903082972,1.0668544371632391,0.944,8.289356627869262e-05,0.06995607919107502,0.0022618769794500978,0.07050724096016522,0.0,0.0,0.0065519,0.0018636
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-0.014191671258869998,-0.014247386479999999,-5.571522113000105e-05,-0.05565920318708307,1.008537872310165e-06,1.0020139035130276e-06,1.0065108565602379,0.951,-0.34988769883858595,-0.35174111147911036,-0.00185341264052441,-0.0688919604513652,0.0007353991208137115,0.0007237809597358035,1.01605204022243,0.952,5.7321156220020686e-05,0.057078011713294095,0.0015123486297565598,0.05576867984618897,0.0,0.0,0.0040184999999999995,0.0011482
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,0.004753451074859999,0.0036556600000000024,-0.0010977910748599965,-0.1871310739062678,3.426485663371686e-05,3.44149839513222e-05,0.9956377339063215,0.943,0.1219714557552205,0.0933894573242963,-0.02858199843092421,-0.19080266601157908,0.02266447483936505,0.022439661679270424,1.010018562815602,0.941,0.0015419831566849222,0.2634238970560348,0.03941078284237137,0.2617834768297203,0.0715,0.0715,0.01957,0.005631500000000001
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,0.004753451074859999,0.004507057444444446,-0.0002463936304155532,-0.0727472060360924,1.1715389132365076e-05,1.1471661317107401e-05,1.0212460783595667,0.9485,0.1219714557552205,0.11549314845181971,-0.006478307303400793,-0.07490555396614852,0.007673470188791013,0.007479887226423476,1.0258804653743556,0.945,0.0005228294707055736,0.15275016940109007,0.013305692231052872,0.1518943321120367,0.02,0.02,0.006670833333333333,0.0018961666666666669
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,0.004753451074859999,0.00449275566,-0.0002606954148599988,-0.09008415071999865,8.751287103967546e-06,8.374714461664667e-06,1.044965430645623,0.9465,0.1219714557552205,0.11511980797613931,-0.006851647779081191,-0.0928546526861469,0.005720250196384099,0.005444809864865402,1.0505876859532002,0.9455,0.0004833217462701223,0.1633805561035274,0.01227718877558407,0.16232724627005415,0.015,0.015,0.0066067,0.0018908999999999998
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,0.004753451074859999,0.0046079617599999985,-0.00014548931486000043,-0.05545520501339966,6.7196556443710875e-06,6.88299679026444e-06,0.976268891171882,0.948,0.1219714557552205,0.11816301711379655,-0.003808438641423953,-0.05684912868530128,0.004391504768851226,0.004487932335854085,0.978514032791337,0.949,0.00031917683074559277,0.12312829033217913,0.008123813634187065,0.12258949965409262,0.0095,0.0095,0.003982599999999999,0.0011355999999999998
