scale,dgp,alpha,trigger_regime,design_points,all_bias_signs_equal,coefficient_inverse_B_only,rmse_inverse_B_only,coefficient_inverse_B_joint,coefficient_inverse_n_joint,rmse_inverse_B_plus_inverse_n,relative_sse_reduction_from_inverse_n,log_absolute_bias_vs_log_B_slope,log_absolute_bias_vs_log_B_r2,expected_second_order_slope,B_scaled_bias_cv,same_B_3000_n5000_minus_n3000,same_B_3000_relative_difference,posthoc_exploratory
delta_pi,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,4,True,0.138966835389087,3.608725271364559e-05,0.6698312498661911,-0.5502390281441518,8.667664119064975e-06,0.9423105357998915,-1.4985261851073848,0.7269159734279633,-1.0,0.8540734416437483,7.869209555547704e-05,1.0650873774872234,True
delta_pi,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,4,True,-0.47276653582817113,4.399544301519683e-05,-1.0301834790463291,0.5777606272772146,2.413728173034283e-05,0.6990035810656904,-1.2736388516833643,0.9324700263336652,-1.0,0.39451752463484596,-0.00010376116,0.5896800745140146,True
delta_s,transparent_k3_max_trigger,0.01,above_all_base_thresholds,4,True,-1.4525469131518152,5.938288609445819e-05,-1.858651075290397,0.42092548192466117,5.299232765452176e-05,0.20365109018370608,-1.2146131996325638,0.9767892410903186,-1.0,0.2020341299240036,-9.723665488759999e-05,0.19976839703618818,True
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,4,False,-4.357783565091782,0.0012015538494169957,1.1308422475922801,-5.68894062336596,0.0011456672469781712,0.09086052243382114,-1.0421308470833441,0.7598629575005278,-1.0,1.207126775349511,9.371326068659995e-05,0.11602521903185038,True
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,4,False,-1.6128892334686984,0.0004732641266748209,2.9981106701665907,-4.779284571651176,0.00036248769993722053,0.4133495927700426,-1.8888691301173461,0.8096841554249743,-1.0,1.4597244300505159,0.00016661374600352788,2.0,True
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,4,True,-3.912320178817395,0.0005853947693542544,-0.1824292212504461,-3.8660183647774193,0.0005311378257661732,0.1767783419444685,-1.2013230690232866,0.8202609326845554,-1.0,0.5094911995943041,-0.0004890648369137,0.8296532731879629,True
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,4,True,-1.7071768461644052,8.690933811391063e-05,-1.882074294658934,0.18128056705272375,8.613961873230606e-05,0.017634718159044827,-1.2469880978138799,0.9900570008108063,-1.0,0.208840660738045,-0.00013886345201949993,0.26619008785185694,True
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,4,True,-1.9534777463787412,0.00029139356860115025,1.6569585311708506,-3.742204024905416,0.0001677757919529833,0.6684884448949173,-1.2084116376839487,0.8157820846804507,-1.0,0.5013974848541318,0.00018456797148550002,0.6399604448019856,True
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,4,True,-12.050302241970286,0.0001669962668276518,-14.24798376753342,2.2778888805106923,8.280432914622208e-05,0.7541373486663212,-1.0131150691386408,0.9994407335674479,-1.0,0.04999465520397055,-0.0004472561712429001,0.10988765559437745,True
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,4,True,-107.32195923237745,0.002301230339161491,-125.85684493901012,19.21134138935644,0.00194928722731947,0.2824841617349211,-0.9411835009592652,0.9994422195531543,-1.0,0.04478931264676557,0.000685542155278801,0.017828153803521117,True
