scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bridge_rms_to_empirical_sd,sqrt_B_scaled_bridge_ratio,strict_sign_reversal_frequency,locked_threshold,locked_threshold_fail
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,3000,5000,0.2343765742960367,12.83733366927248,0.0465,0.15,True
delta_s,transparent_k3_max_trigger,0.01,below_all_base_thresholds,5000,5000,0.1922151915981513,13.59166654261243,0.0375,0.15,True
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,1000,1000,0.1284718949667186,4.062638034127526,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,3000,0.0753671278721526,4.128027602995432,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,3000,5000,0.0732961062611267,4.014593077651474,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.05,above_all_base_thresholds,5000,5000,0.0591913179769244,4.185458232885244,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,1000,1000,0.207479101584345,6.561065278919799,0.018,0.15,True
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,3000,0.1248233805437087,6.836858122784072,0.0015,0.15,False
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,3000,5000,0.1196579295635924,6.553934720634386,0.0005,0.15,False
delta_s,transparent_k3_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.095622962179367,6.761564499417517,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,1000,1000,0.1002887836870246,3.171409802189369,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,3000,0.0589747917509338,3.2301823766156037,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,3000,5000,0.0597294155628018,3.2715148250346675,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,above_all_base_thresholds,5000,5000,0.0441256664913259,3.1201558000392553,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,1000,1000,0.1600610716841495,5.061575512493954,0.0,0.15,True
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,3000,0.0926716909282273,5.075837556353696,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,3000,5000,0.1030010575958741,5.641600269214908,0.0,0.15,False
delta_s,transparent_k3_max_trigger,0.1,below_all_base_thresholds,5000,5000,0.0729191566213331,5.156163012534857,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,0.3632618654461431,11.487348818914299,0.0025,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,0.1515526209011814,8.300878911660597,0.0,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,0.1516313156258857,8.305189199248318,0.0,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,0.1172297454667684,8.289394797632486,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,0.4927241698020704,15.581306347900984,0.0125,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,0.280213835328636,15.347943853453197,0.0,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,0.2906564102636818,15.91990723848946,0.0,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,0.2157823919705457,15.258119262302648,0.0,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,0.1235514978890844,3.9070414165499225,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,0.0696386437882557,3.814265607689466,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,0.0705072409601652,3.861840634133469,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,0.0557686798461889,3.9434411697061718,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,0.2617834768297203,8.278320405798311,0.0715,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,0.1518943321120367,8.319595205494382,0.02,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,0.1623272462700541,8.891029447980497,0.015,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,0.1225894996540926,8.66838665076748,0.0095,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,0.0977560995349116,3.0913192970444743,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,0.0573137840099358,3.1392052358220734,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,0.0534561373278603,2.9279132251563023,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,0.0478160251669338,3.381103564492551,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,0.1881021238381679,5.948311440436643,0.018,0.15,True
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,0.1102025221302376,6.0360407264693405,0.0005,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,0.1155754350323665,6.330327286069996,0.0,0.15,False
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,0.0836786104749435,5.9169712907100225,0.0,0.15,False
