dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,observed_delta_pi_bias,nu_centering_component,rho_mu_product_centering_component,outer_covariance_component,reconstructed_delta_pi_bias,delta_pi_decomposition_error,mean_e0,mean_rho,mean_mu,mean_nu,true_e0,true_rho,true_mu,true_nu,observed_delta_s_bias,delta_s_centering_component,delta_s_jensen_component,delta_s_decomposition_error,delta_s_centering_share,delta_s_jensen_share
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-0.00010578710773995344,1e-06,-0.00010274109524000051,-4.046012499999254e-06,-0.00010578710773999976,4.632253781944318e-17,0.05570050000000001,0.026025000000000006,0.04845950000000001,1e-06,0.0514149,0.0253991,0.0456086,0.0,-0.01202943354112157,-0.011713188644535855,-0.00031624489658571564,0.0,0.9737107407838732,0.026289259216126844
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-3.4049329962176043e-05,0.0,-3.277865579555373e-05,-1.270674166666116e-06,-3.4049329962219845e-05,4.380176776841438e-17,0.052707666666666646,0.025620333333333307,0.04649416666666664,0.0,0.0514149,0.0253991,0.0456086,0.0,-0.003846493975166121,-0.003746851560978648,-9.9642414187473e-05,0.0,0.9740952631589214,0.02590473684107868
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-3.809272773995227e-05,0.0,-3.635339774000004e-05,-1.739329999999933e-06,-3.8092727739999976e-05,4.7704895589362195e-17,0.052949600000000006,0.025667500000000003,0.046548,0.0,0.0514149,0.0253991,0.0456086,0.0,-0.004293750146408981,-0.0042042331157610136,-8.951703064796757e-05,0.0,0.9791517839660899,0.020848216033910103
gain_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-2.0451847739955164e-05,0.0,-1.9581560419999972e-05,-8.702873200000776e-07,-2.045184774000005e-05,4.4885969940899884e-17,0.0523968,0.0255051,0.0461868,0.0,0.0514149,0.0253991,0.0456086,0.0,-0.0023365551299798087,-0.0022761742579362476,-6.038087204356113e-05,0.0,0.9741581650401363,0.025841834959863714
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,2000,-0.001018172749500051,-0.000729999999999998,-0.0002689882495000009,-1.9184499999998217e-05,-0.0010181727494999971,-5.377642775528102e-17,0.055178500000000005,0.096336,0.04825000000000001,0.010932500000000001,0.0514149,0.0960175,0.0456086,0.0116625,-0.10523635956242594,-0.1052047037568844,-3.165580554154168e-05,0.0,0.9996991932667267,0.0003008067332732423
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,2000,-0.00037604452727783583,-0.0002665000000000306,-0.00010314152974999578,-6.402997527776497e-06,-0.0003760445272778029,-3.2959746043559335e-17,0.05272816666666665,0.09634349999999997,0.04652483333333331,0.011395999999999969,0.0514149,0.0960175,0.0456086,0.0116625,-0.03879555552374414,-0.038820525499324354,2.496997558021352e-05,0.0,1.000643629798391,-0.0006436297983909802
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,2000,-0.0003697040295000554,-0.00025179999999999994,-0.00011207916429999912,-5.824865200000813e-06,-0.0003697040294999999,-5.551115123125783e-17,0.0528188,0.0961416,0.0467155,0.0114107,0.0514149,0.0960175,0.0456086,0.0116625,-0.03811001336846542,-0.03806923583190969,-4.077753655573613e-05,0.0,0.9989300046640898,0.0010699953359102723
gain_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,2000,-0.00022362650950005607,-0.00015899999999999768,-6.107096550999908e-05,-3.555543990000319e-06,-0.0002236265094999971,-5.898059818321144e-17,0.0523229,0.0961871,0.0461631,0.011503500000000002,0.0514149,0.0960175,0.0456086,0.0116625,-0.02296306341185894,-0.02297291893070863,9.855518849688494e-06,0.0,1.0004291900724622,-0.0004291900724621417
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,2000,-0.00013053674112995482,0.0,-0.00014219904513000127,1.1662304000001344e-05,-0.00013053674112999993,4.5102810375396984e-17,0.20456500000000002,0.123084,0.116456,0.0,0.2021237,0.1223957,0.1159491,0.0,-0.005293196421173041,-0.004341360793199911,-0.0009518356279731299,0.0,0.8201775350399352,0.17982246496006488
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,2000,-0.0001312728522410659,0.0,-0.00013070011487999363,-5.727373611104369e-07,-0.00013127285224110406,3.8163916471489756e-17,0.20325533333333332,0.12303649999999997,0.11640749999999998,0.0,0.2021237,0.1223957,0.1159491,0.0,-0.0041010852575664725,-0.0037721175852070132,-0.00032896767235945923,0.0,0.9197852149616943,0.08021478503830572
